Date, Open, High, Low, Close
06/04/21, 28901.42, 28991.24, 28764.68, 28941.52
06/03/21, 28890.39, 29157.16, 28879.15, 29058.11
06/02/21, 28730.81, 29003.55, 28565.83, 28946.14
06/01/21, 28998.65, 29075.47, 28611.25, 28814.34
05/31/21, 29019.45, 29147.71, 28791.60, 28860.08
05/28/21, 28912.54, 29194.11, 28899.66, 29149.41
05/27/21, 28543.32, 28587.21, 28360.56, 28549.01
05/26/21, 28396.62, 28710.83, 28396.62, 28642.19
05/25/21, 28516.99, 28576.97, 28443.74, 28553.98
05/24/21, 28212.32, 28584.18, 28212.32, 28364.61
05/21/21, 28269.61, 28411.56, 28193.03, 28317.83
05/20/21, 27875.50, 28176.87, 27821.96, 28098.25
05/19/21, 28031.22, 28216.65, 27842.98, 28044.45
05/18/21, 27931.57, 28481.17, 27931.57, 28406.84
05/17/21, 28310.46, 28312.78, 27632.53, 27824.83
05/14/21, 27723.70, 28139.96, 27723.70, 28084.47
05/13/21, 27929.01, 27961.96, 27385.03, 27448.01
05/12/21, 28712.10, 28831.03, 27888.59, 28147.51
05/11/21, 29238.56, 29289.12, 28535.36, 28608.59
05/10/21, 29376.89, 29685.41, 29346.14, 29518.34
05/07/21, 29330.45, 29449.86, 29237.36, 29357.82
05/06/21, 29024.01, 29430.22, 28966.47, 29331.37
04/30/21, 28996.66, 29046.49, 28760.27, 28812.63
04/28/21, 28935.51, 29139.70, 28875.91, 29053.97
04/27/21, 29174.53, 29187.11, 28990.19, 28991.89
04/26/21, 29095.49, 29241.28, 28896.37, 29126.23
04/23/21, 28939.12, 29035.34, 28770.62, 29020.63
04/22/21, 28880.78, 29192.39, 28800.86, 29188.17
04/21/21, 28660.36, 28778.93, 28419.84, 28508.55
04/20/21, 29355.87, 29361.28, 29014.36, 29100.38
04/19/21, 29688.32, 29808.01, 29530.84, 29685.37
04/16/21, 29789.08, 29789.08, 29621.83, 29683.37
04/15/21, 29573.90, 29787.66, 29558.55, 29642.69
04/14/21, 29718.06, 29722.40, 29567.18, 29620.99
04/13/21, 29605.69, 29897.11, 29573.79, 29751.61
04/12/21, 29874.43, 29876.04, 29538.73, 29538.73
04/09/21, 29865.53, 30064.35, 29768.06, 29768.06
04/08/21, 29675.88, 29744.79, 29516.42, 29708.98
04/07/21, 29743.48, 29867.94, 29523.55, 29730.79
04/06/21, 30208.89, 30208.89, 29665.86, 29696.63
04/05/21, 30084.61, 30195.00, 30024.25, 30089.25
04/02/21, 29704.66, 29869.67, 29694.09, 29854.00
04/01/21, 29441.91, 29585.46, 29318.82, 29388.87
03/31/21, 29278.33, 29348.99, 29165.52, 29178.80
03/30/21, 29365.04, 29478.20, 29283.89, 29432.70
03/29/21, 29478.12, 29578.37, 29200.88, 29384.52
03/26/21, 29068.52, 29240.74, 28953.22, 29176.70
03/25/21, 28457.33, 28821.83, 28414.92, 28729.88
03/24/21, 28765.55, 28867.67, 28379.06, 28405.52
03/23/21, 29381.49, 29496.83, 28995.92, 28995.92
03/22/21, 29444.10, 29472.98, 29107.63, 29174.15
03/19/21, 29904.57, 30049.77, 29621.22, 29792.05
03/18/21, 30148.48, 30485.00, 30041.50, 30216.75
03/17/21, 29836.83, 29984.97, 29825.16, 29914.33
03/16/21, 29770.39, 30026.40, 29755.47, 29921.09
03/15/21, 29804.50, 29884.73, 29670.31, 29766.97
03/12/21, 29287.74, 29744.32, 29210.40, 29717.83
03/11/21, 29033.92, 29255.42, 28995.33, 29211.64
03/10/21, 29118.28, 29233.47, 28960.09, 29036.56
03/09/21, 28748.87, 29053.56, 28609.21, 29027.94
03/08/21, 29208.19, 29255.90, 28644.26, 28743.25
03/05/21, 28725.48, 28867.83, 28308.57, 28864.32
03/04/21, 29198.42, 29277.19, 28711.04, 28930.11
03/03/21, 29482.12, 29604.37, 29336.60, 29559.10
03/02/21, 29939.75, 29996.39, 29314.82, 29408.17
03/01/21, 29419.45, 29686.39, 29396.04, 29663.50
02/26/21, 29753.73, 29760.31, 28966.01, 28966.01
02/25/21, 30077.27, 30213.28, 30044.43, 30168.27
02/24/21, 30020.11, 30089.59, 29671.70, 29671.70
02/22/21, 30281.78, 30458.13, 30089.18, 30156.03
02/19/21, 29970.59, 30169.59, 29847.33, 30017.92
02/18/21, 30311.98, 30560.49, 30140.01, 30236.09
02/17/21, 30366.82, 30398.20, 30191.01, 30292.19
02/16/21, 30229.46, 30714.52, 30191.65, 30467.75
02/15/21, 29662.41, 30092.34, 29662.41, 30084.15
02/12/21, 29635.88, 29650.51, 29417.32, 29520.07
02/10/21, 29412.55, 29562.93, 29368.18, 29562.93
02/09/21, 29435.61, 29585.75, 29350.48, 29505.93
02/08/21, 28831.58, 29400.56, 28817.60, 29388.50
02/05/21, 28631.46, 28785.71, 28548.27, 28779.19
02/04/21, 28557.46, 28600.22, 28325.89, 28341.95
02/03/21, 28482.71, 28669.95, 28402.30, 28646.50
02/02/21, 28207.48, 28379.31, 28089.12, 28362.17
02/01/21, 27649.07, 28107.10, 27649.07, 28091.05
01/29/21, 28320.72, 28320.72, 27629.80, 27663.39
01/28/21, 28169.27, 28360.48, 27975.85, 28197.42
01/27/21, 28665.34, 28754.99, 28542.00, 28635.21
01/26/21, 28696.30, 28740.71, 28527.81, 28546.18
