Date, Open, High, Low, Close
12/31/21, 15698.01, 15698.01, 15698.01, 15698.01
12/30/21, 15679.33, 15679.33, 15679.33, 15679.33
12/29/21, 15572.28, 15572.28, 15572.28, 15572.28
12/28/21, 15929.57, 15929.57, 15929.57, 15929.57
12/27/21, 15811.08, 15811.08, 15811.08, 15811.08
12/24/21, 15890.21, 15890.21, 15890.21, 15890.21
12/23/21, 15916.82, 15916.82, 15916.82, 15916.82
12/22/21, 15764.23, 15764.23, 15764.23, 15764.23
12/21/21, 15791.28, 15791.28, 15791.28, 15791.28
12/20/21, 15743.50, 15743.50, 15743.50, 15743.50
12/17/21, 15880.96, 15880.96, 15880.96, 15880.96
12/16/21, 16158.47, 16158.47, 16158.47, 16158.47
12/15/21, 16119.97, 16119.97, 16119.97, 16119.97
12/14/21, 16252.99, 16252.99, 16252.99, 16252.99
12/13/21, 16365.30, 16365.30, 16365.30, 16365.30
12/10/21, 16283.83, 16283.83, 16283.83, 16283.83
12/09/21, 16312.07, 16312.07, 16312.07, 16312.07
12/08/21, 16033.30, 16033.30, 16033.30, 16033.30
12/07/21, 15787.21, 15787.21, 15787.21, 15787.21
12/06/21, 15664.59, 15664.59, 15664.59, 15664.59
12/03/21, 15607.09, 15607.09, 15607.09, 15607.09
12/02/21, 15457.37, 15457.37, 15457.37, 15457.37
12/01/21, 15402.24, 15402.24, 15402.24, 15402.24
11/30/21, 15359.61, 15359.61, 15359.61, 15359.61
11/29/21, 15511.16, 15511.16, 15511.16, 15511.16
11/26/21, 15488.25, 15488.25, 15488.25, 15488.25
11/25/21, 15638.67, 15638.67, 15638.67, 15638.67
11/24/21, 15719.85, 15719.85, 15719.85, 15719.85
11/23/21, 15649.60, 15649.60, 15649.60, 15649.60
11/22/21, 15651.37, 15651.37, 15651.37, 15651.37
11/19/21, 15620.39, 15620.39, 15620.39, 15620.39
11/18/21, 15415.42, 15415.42, 15415.42, 15415.42
11/17/21, 15566.69, 15566.69, 15566.69, 15566.69
11/16/21, 15607.01, 15607.01, 15607.01, 15607.01
11/15/21, 15552.25, 15552.25, 15552.25, 15552.25
11/12/21, 15555.16, 15555.16, 15555.16, 15555.16
11/11/21, 15679.04, 15679.04, 15679.04, 15679.04
11/10/21, 15359.10, 15359.10, 15359.10, 15359.10
11/09/21, 15503.33, 15503.33, 15503.33, 15503.33
11/08/21, 15578.41, 15578.41, 15578.41, 15578.41
11/05/21, 15591.46, 15591.46, 15591.46, 15591.46
11/04/21, 15624.61, 15624.61, 15624.61, 15624.61
11/03/21, 15412.09, 15412.09, 15412.09, 15412.09
11/02/21, 15546.46, 15546.46, 15546.46, 15546.46
11/01/21, 15768.14, 15768.14, 15768.14, 15768.14
10/29/21, 15882.05, 15882.05, 15882.05, 15882.05
10/28/21, 15777.82, 15777.82, 15777.82, 15777.82
10/27/21, 15858.31, 15858.31, 15858.31, 15858.31
10/26/21, 16079.35, 16079.35, 16079.35, 16079.35
10/25/21, 16168.18, 16168.18, 16168.18, 16168.18
10/22/21, 16189.35, 16189.35, 16189.35, 16189.35
10/21/21, 15999.86, 15999.86, 15999.86, 15999.86
10/20/21, 15840.38, 15840.38, 15840.38, 15840.38
10/19/21, 15858.59, 15858.59, 15858.59, 15858.59
10/18/21, 15682.22, 15682.22, 15682.22, 15682.22
10/15/21, 16033.80, 16033.80, 16033.80, 16033.80
10/14/21, 15957.97, 15957.97, 15957.97, 15957.97
10/13/21, 16080.57, 16080.57, 16080.57, 16080.57
10/12/21, 15870.42, 15870.42, 15870.42, 15870.42
10/11/21, 15932.35, 15932.35, 15932.35, 15932.35
10/08/21, 15816.73, 15816.73, 15816.73, 15816.73
10/07/21, 15486.32, 15486.32, 15486.32, 15486.32
10/06/21, 15486.32, 15486.32, 15486.32, 15486.32
10/05/21, 15486.32, 15486.32, 15486.32, 15486.32
10/04/21, 15486.32, 15486.32, 15486.32, 15486.32
10/01/21, 15486.32, 15486.32, 15486.32, 15486.32
09/30/21, 15486.32, 15486.32, 15486.32, 15486.32
09/29/21, 15437.62, 15437.62, 15437.62, 15437.62
09/28/21, 15471.53, 15471.53, 15471.53, 15471.53
09/27/21, 15441.63, 15441.63, 15441.63, 15441.63
09/24/21, 15095.72, 15095.72, 15095.72, 15095.72
09/23/21, 14979.27, 14979.27, 14979.27, 14979.27
09/22/21, 14964.67, 14964.67, 14964.67, 14964.67
09/16/21, 15022.49, 15022.49, 15022.49, 15022.49
09/15/21, 15096.88, 15096.88, 15096.88, 15096.88
09/14/21, 15343.78, 15343.78, 15343.78, 15343.78
09/13/21, 15570.54, 15570.54, 15570.54, 15570.54
09/10/21, 15597.18, 15597.18, 15597.18, 15597.18
09/09/21, 15366.34, 15366.34, 15366.34, 15366.34
09/08/21, 15397.64, 15397.64, 15397.64, 15397.64
09/07/21, 15544.89, 15544.89, 15544.89, 15544.89
09/06/21, 15388.35, 15388.35, 15388.35, 15388.35
09/03/21, 15136.65, 15136.65, 15136.65, 15136.65
09/02/21, 15093.72, 15093.72, 15093.72, 15093.72
09/01/21, 15120.60, 15120.60, 15120.60, 15120.60
08/31/21, 14759.32, 14759.32, 14759.32, 14759.32
08/30/21, 14831.98, 14831.98, 14831.98, 14831.98
08/27/21, 14971.32, 14971.32, 14971.32, 14971.32
08/26/21, 14876.92, 14876.92, 14876.92, 14876.92
08/25/21, 15249.41, 15249.41, 15249.41, 15249.41
08/24/21, 15213.05, 15213.05, 15213.05, 15213.05
08/23/21, 15016.01, 15016.01, 15016.01, 15016.01
08/20/21, 14890.28, 14890.28, 14890.28, 14890.28
08/19/21, 15327.38, 15327.38, 15327.38, 15327.38
08/18/21, 15602.41, 15602.41, 15602.41, 15602.41
08/17/21, 15362.71, 15362.71, 15362.71, 15362.71
08/16/21, 15739.85, 15739.85, 15739.85, 15739.85
08/13/21, 15741.12, 15741.12, 15741.12, 15741.12
08/12/21, 15732.42, 15732.42, 15732.42, 15732.42
08/11/21, 15929.25, 15929.25, 15929.25, 15929.25
08/10/21, 16031.02, 16031.02, 16031.02, 16031.02
08/09/21, 15686.39, 15686.39, 15686.39, 15686.39
08/06/21, 15423.44, 15423.44, 15423.44, 15423.44
08/05/21, 15474.75, 15474.75, 15474.75, 15474.75
08/04/21, 15585.84, 15585.84, 15585.84, 15585.84
08/03/21, 15601.32, 15601.32, 15601.32, 15601.32
08/02/21, 15506.45, 15506.45, 15506.45, 15506.45
07/30/21, 15039.04, 15039.04, 15039.04, 15039.04
07/29/21, 15385.00, 15385.00, 15385.00, 15385.00
07/28/21, 15254.86, 15254.86, 15254.86, 15254.86
07/27/21, 15086.32, 15086.32, 15086.32, 15086.32
07/26/21, 15709.43, 15709.43, 15709.43, 15709.43
07/23/21, 16450.93, 16450.93, 16450.93, 16450.93
07/22/21, 16668.14, 16668.14, 16668.14, 16668.14
07/21/21, 16655.19, 16655.19, 16655.19, 16655.19
07/20/21, 16675.87, 16675.87, 16675.87, 16675.87
07/19/21, 16742.88, 16742.88, 16742.88, 16742.88
07/16/21, 16664.30, 16664.30, 16664.30, 16664.30
07/15/21, 16919.40, 16919.40, 16919.40, 16919.40
07/14/21, 16592.89, 16592.89, 16592.89, 16592.89
07/13/21, 16830.52, 16830.52, 16830.52, 16830.52
07/12/21, 16809.41, 16809.41, 16809.41, 16809.41
07/09/21, 16665.48, 16665.48, 16665.48, 16665.48
07/08/21, 16770.36, 16770.36, 16770.36, 16770.36
07/07/21, 17077.77, 17077.77, 17077.77, 17077.77
07/06/21, 16982.28, 16982.28, 16982.28, 16982.28
07/05/21, 16924.47, 16924.47, 16924.47, 16924.47
07/02/21, 16958.03, 16958.03, 16958.03, 16958.03
07/01/21, 17581.07, 17581.07, 17581.07, 17581.07
06/30/21, 17458.48, 17458.48, 17458.48, 17458.48
06/29/21, 17380.16, 17380.16, 17380.16, 17380.16
06/28/21, 17626.79, 17626.79, 17626.79, 17626.79
06/25/21, 17648.27, 17648.27, 17648.27, 17648.27
06/24/21, 17344.17, 17344.17, 17344.17, 17344.17
06/23/21, 17265.79, 17265.79, 17265.79, 17265.79
06/22/21, 17267.49, 17267.49, 17267.49, 17267.49
06/21/21, 17124.37, 17124.37, 17124.37, 17124.37
06/18/21, 17243.00, 17243.00, 17243.00, 17243.00
06/17/21, 17385.05, 17385.05, 17385.05, 17385.05
06/16/21, 17402.11, 17402.11, 17402.11, 17402.11
06/15/21, 17652.04, 17652.04, 17652.04, 17652.04
06/14/21, 17886.70, 17886.70, 17886.70, 17886.70
